pc1,pc2,name,rating
-157589.115475,-93.6119096134,Lionel Messi,94
-157677.116978,-98.7472890699,Cristiano Ronaldo,93
-147934.118347,-75.5295179814,Luis Suarez,90
-161271.113305,204.177351138,Manuel Neuer,90
-169037.114828,-78.8212065484,Neymar,90
-157736.115609,-88.7238152615,Arjen Robben,89
-152846.117794,-84.5534652701,Zlatan Ibrahimovic,89
-157615.116507,-85.7058827232,Andres Iniesta,88
-81153.1155029,-87.3576610231,Eden Hazard,88
-152192.115354,-64.8532876972,Mesut Oezil,88
-95123.1167872,-79.4978837009,Robert Lewandowski,88
-151158.115378,-75.1850600016,Sergio Aguero,88
-108008.118407,-74.088413304,Thiago Silva,88
-5653.11331769,200.479705067,David De Gea,87
-156649.117783,-105.886012012,Gareth Bale,87
-23886.1177199,-93.7824961048,James Rodriguez,87
-152387.117018,-48.1083782003,Jerome Boateng,87
-157473.117478,-99.2199907675,Luka Modric,87
-157676.117292,-82.6481839492,Philipp Lahm,87
-157608.118018,-74.0562351925,Sergio Ramos,87
-93492.1187509,-91.5130967566,Toni Kroos,87
-138523.116361,-83.5560339853,Alexis Sanchez,86
-142061.116426,-91.2960165184,Angel Di Maria,86
-157957.117796,-88.7455202049,Cesc Fabregas,86
-151111.11535,-86.1092938439,David Silva,86
-131892.116844,-33.3069698504,Diego Godin,86
-157646.114815,-72.0960676171,Franck Ribery,86
-146686.115797,-21.9469353996,Giorgio Chiellini,86
-162811.114914,-57.412215091,Gonzalo Higuain,86
-162404.115356,-65.7774258779,Karim Benzema,86
-19370.117317,-88.2093866447,Kevin de Bruyne,86
-58626.1165288,-91.8698423481,Marco Reus,86
-152182.117902,-59.9659545615,Mats Hummels,86
59882.8807574,-117.296860676,Paul Pogba,86
-157711.111577,222.54176947,Petr Cech,86
-34313.1185211,-64.4046531572,Sergio Busquets,86
-18247.112257,209.31333371,Thibaut Courtois,86
-71798.1170818,-85.6343105107,Thomas Mueller,86
-148716.11725,-86.1734986958,Xavi Hernandez,86
-157668.115041,-15.1926070856,Andrea Barzagli,85
-138631.118733,-113.698868409,Arturo Vidal,85
-157698.120131,-93.1153249523,Bastian Schweinsteiger,85
-149753.116728,-105.244810218,Carlos Tevez,85
-66937.1183546,-106.828889229,David Alaba,85
-169327.116275,-56.8424829175,Diego Costa,85
-138893.117084,-77.331136465,Edinson Cavani,85
-151088.117431,-42.2257249463,Gerard Pique,85
-115403.116807,-95.7667528832,Henrik Mkhitaryan,85
-162275.110986,210.858804394,Hugo Lloris,85
-162797.11787,-92.3604190615,Ivan Rakitic,85
-169243.115961,-22.491190776,Miranda,85
-151134.117077,-92.3110740186,Santi Cazorla,85
-149543.117074,-39.706352777,Vincent Kompany,85
-157741.11837,-96.1049358266,Wayne Rooney,85
-151955.118945,-95.5054475573,Yaya Toure,85
-4432.11606157,-75.9976907616,Antoine Griezmann,84
-162151.117618,-79.2880161871,Blaise Matuidi,84
-146680.11801,-106.975148843,Claudio Marchisio,84
-154582.117321,-95.0229323319,Daniel Alves,84
-157853.112037,208.1041559,Gianluigi Buffon,84
-168294.117546,-89.1182475321,Hulk,84
-9752.11757203,-90.8618371892,Ilkay Guendogan,84
2744.88399662,-74.8920023265,Isco,84
-151160.118178,-48.7609275843,Javier Martinez,84
-59179.1173434,-86.6764983301,Javier Pastore,84
-157138.112644,195.486856466,Joe Hart,84
-157943.117414,-2.19582800012,John Terry,84
-37831.1167834,-85.7754089637,Jordi Alba,84
-142031.115555,-19.390889836,Laurent Koscielny,84
2401.88236568,-80.0153595802,Marco Verratti,84
-10856.1155668,-66.2420216137,Mario Goetze,84
-92172.1176409,-93.7701748025,Miralem Pjanic,84
-160090.11796,-52.3825858044,Naldo,84
-14249.116661,-31.8298335671,Nicolas Otamendi,84
-162649.11606,-21.677917109,Pepe,84
-4034.11461036,-69.3409795503,Philippe Coutinho,84
-38005.1158048,-78.7693340574,Pierre-Emerick Aubameyang,84
-146148.111936,216.07120858,Samir Handanovic,84
-157681.119898,-83.6936768832,Xabi Alonso,84
-19377.115926,-82.2711741252,Alexandre Lacazette,83
-148778.11747,-91.0416126827,Arda Turan,83
