Team,Season,MeanEntropy,League
Fortuna Düsseldorf,2012/2013,0.997636704533,Germany 1. Bundesliga
SV Darmstadt 98,2015/2016,0.978599991108,Germany 1. Bundesliga
SC Paderborn 07,2014/2015,0.984300046418,Germany 1. Bundesliga
FC Schalke 04,2011/2012,1.01848794968,Germany 1. Bundesliga
FC Schalke 04,2013/2014,1.00144400943,Germany 1. Bundesliga
FC Schalke 04,2015/2016,1.00840599411,Germany 1. Bundesliga
FC Schalke 04,2012/2013,0.979587781004,Germany 1. Bundesliga
FC Schalke 04,2008/2009,1.00387588145,Germany 1. Bundesliga
FC Schalke 04,2010/2011,1.03334565737,Germany 1. Bundesliga
FC Schalke 04,2014/2015,1.03040012573,Germany 1. Bundesliga
FC Schalke 04,2009/2010,1.0084437741,Germany 1. Bundesliga
FC Energie Cottbus,2008/2009,0.974882557092,Germany 1. Bundesliga
VfL Wolfsburg,2011/2012,1.03441736369,Germany 1. Bundesliga
VfL Wolfsburg,2013/2014,1.00800000746,Germany 1. Bundesliga
VfL Wolfsburg,2015/2016,0.996846115431,Germany 1. Bundesliga
VfL Wolfsburg,2012/2013,1.026718475,Germany 1. Bundesliga
VfL Wolfsburg,2008/2009,1.00407433632,Germany 1. Bundesliga
VfL Wolfsburg,2010/2011,1.03476359541,Germany 1. Bundesliga
VfL Wolfsburg,2014/2015,0.983576402093,Germany 1. Bundesliga
VfL Wolfsburg,2009/2010,1.00508715434,Germany 1. Bundesliga
1. FC Köln,2011/2012,0.995769161028,Germany 1. Bundesliga
1. FC Köln,2015/2016,1.01854547558,Germany 1. Bundesliga
1. FC Köln,2008/2009,1.01695044111,Germany 1. Bundesliga
1. FC Köln,2010/2011,1.01786093922,Germany 1. Bundesliga
1. FC Köln,2014/2015,1.02130643015,Germany 1. Bundesliga
1. FC Köln,2009/2010,1.00368316058,Germany 1. Bundesliga
FC Augsburg,2011/2012,0.982876148754,Germany 1. Bundesliga
FC Augsburg,2013/2014,1.01533924446,Germany 1. Bundesliga
FC Augsburg,2015/2016,1.01734128653,Germany 1. Bundesliga
FC Augsburg,2012/2013,1.00840485894,Germany 1. Bundesliga
FC Augsburg,2014/2015,1.03895268885,Germany 1. Bundesliga
Eintracht Braunschweig,2013/2014,0.95732112619,Germany 1. Bundesliga
FC St. Pauli,2010/2011,0.999800878232,Germany 1. Bundesliga
VfB Stuttgart,2011/2012,1.02873509125,Germany 1. Bundesliga
VfB Stuttgart,2013/2014,1.020779863,Germany 1. Bundesliga
VfB Stuttgart,2015/2016,1.02026028908,Germany 1. Bundesliga
VfB Stuttgart,2012/2013,1.02607826713,Germany 1. Bundesliga
VfB Stuttgart,2008/2009,1.02120534835,Germany 1. Bundesliga
VfB Stuttgart,2010/2011,1.03996976425,Germany 1. Bundesliga
VfB Stuttgart,2014/2015,1.01854494744,Germany 1. Bundesliga
VfB Stuttgart,2009/2010,1.01904717396,Germany 1. Bundesliga
1. FC Kaiserslautern,2011/2012,1.00304769796,Germany 1. Bundesliga
1. FC Kaiserslautern,2010/2011,1.02575877177,Germany 1. Bundesliga
FC Bayern Munich,2011/2012,0.811239603757,Germany 1. Bundesliga
FC Bayern Munich,2013/2014,0.678528121859,Germany 1. Bundesliga
FC Bayern Munich,2015/2016,0.651023548799,Germany 1. Bundesliga
FC Bayern Munich,2012/2013,0.767085831783,Germany 1. Bundesliga
FC Bayern Munich,2008/2009,0.905928299472,Germany 1. Bundesliga
FC Bayern Munich,2010/2011,0.89800505662,Germany 1. Bundesliga
FC Bayern Munich,2014/2015,0.699117544106,Germany 1. Bundesliga
FC Bayern Munich,2009/2010,0.8817467378,Germany 1. Bundesliga
SpVgg Greuther Fürth,2012/2013,0.982695417747,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2011/2012,1.02791849285,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2013/2014,1.02682100867,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2015/2016,1.00476129507,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2012/2013,1.02000912823,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2008/2009,1.02801563688,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2010/2011,1.03715536629,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2014/2015,1.02243993815,Germany 1. Bundesliga
TSG 1899 Hoffenheim,2009/2010,1.02688656825,Germany 1. Bundesliga
1. FC Nürnberg,2011/2012,1.02372322073,Germany 1. Bundesliga
1. FC Nürnberg,2013/2014,0.988186232088,Germany 1. Bundesliga
1. FC Nürnberg,2010/2011,1.02293878253,Germany 1. Bundesliga
1. FC Nürnberg,2012/2013,1.01424426418,Germany 1. Bundesliga
1. FC Nürnberg,2009/2010,1.00002794552,Germany 1. Bundesliga
SC Freiburg,2011/2012,1.00669692168,Germany 1. Bundesliga
SC Freiburg,2013/2014,0.988843739676,Germany 1. Bundesliga
SC Freiburg,2012/2013,1.02855714431,Germany 1. Bundesliga
SC Freiburg,2010/2011,1.01392354112,Germany 1. Bundesliga
SC Freiburg,2014/2015,1.0084670915,Germany 1. Bundesliga
SC Freiburg,2009/2010,0.995742999387,Germany 1. Bundesliga
Hertha BSC Berlin,2011/2012,1.01696934116,Germany 1. Bundesliga
Hertha BSC Berlin,2013/2014,1.02182238843,Germany 1. Bundesliga
Hertha BSC Berlin,2015/2016,1.010885003,Germany 1. Bundesliga
Hertha BSC Berlin,2008/2009,1.03295414766,Germany 1. Bundesliga
Hertha BSC Berlin,2014/2015,1.00684167468,Germany 1. Bundesliga
Hertha BSC Berlin,2009/2010,1.00658461899,Germany 1. Bundesliga
FC Ingolstadt 04,2015/2016,1.004820322,Germany 1. Bundesliga
Karlsruher SC,2008/2009,0.993889651246,Germany 1. Bundesliga
Eintracht Frankfurt,2013/2014,1.01028598673,Germany 1. Bundesliga
Eintracht Frankfurt,2015/2016,1.00060277678,Germany 1. Bundesliga
Eintracht Frankfurt,2012/2013,1.02977669907,Germany 1. Bundesliga
Eintracht Frankfurt,2008/2009,1.01404643252,Germany 1. Bundesliga
Eintracht Frankfurt,2010/2011,1.0424271377,Germany 1. Bundesliga
Eintracht Frankfurt,2014/2015,1.00760721636,Germany 1. Bundesliga
Eintracht Frankfurt,2009/2010,1.01839893308,Germany 1. Bundesliga
Hannover 96,2011/2012,1.02443841193,Germany 1. Bundesliga
Hannover 96,2013/2014,1.00996377325,Germany 1. Bundesliga
Hannover 96,2015/2016,0.97297810334,Germany 1. Bundesliga
Hannover 96,2012/2013,1.02536461296,Germany 1. Bundesliga
Hannover 96,2008/2009,1.01973875582,Germany 1. Bundesliga
Hannover 96,2010/2011,1.03216903691,Germany 1. Bundesliga
Hannover 96,2014/2015,1.00995803263,Germany 1. Bundesliga
Hannover 96,2009/2010,0.998498319646,Germany 1. Bundesliga
1. FSV Mainz 05,2011/2012,1.02870706271,Germany 1. Bundesliga
1. FSV Mainz 05,2013/2014,1.02017668992,Germany 1. Bundesliga
1. FSV Mainz 05,2015/2016,1.0226852744,Germany 1. Bundesliga
1. FSV Mainz 05,2012/2013,1.03427474907,Germany 1. Bundesliga
1. FSV Mainz 05,2010/2011,1.03721589411,Germany 1. Bundesliga
1. FSV Mainz 05,2014/2015,1.02403993421,Germany 1. Bundesliga
1. FSV Mainz 05,2009/2010,1.0061498439,Germany 1. Bundesliga
Bayer 04 Leverkusen,2011/2012,1.01260997818,Germany 1. Bundesliga
Bayer 04 Leverkusen,2013/2014,0.97305001203,Germany 1. Bundesliga
Bayer 04 Leverkusen,2015/2016,0.971663770238,Germany 1. Bundesliga
Bayer 04 Leverkusen,2012/2013,0.990792036343,Germany 1. Bundesliga
Bayer 04 Leverkusen,2008/2009,1.01195310255,Germany 1. Bundesliga
Bayer 04 Leverkusen,2010/2011,1.00087668307,Germany 1. Bundesliga
Bayer 04 Leverkusen,2014/2015,0.964068996219,Germany 1. Bundesliga
Bayer 04 Leverkusen,2009/2010,0.984885681889,Germany 1. Bundesliga
VfL Bochum,2009/2010,0.994751886965,Germany 1. Bundesliga
VfL Bochum,2008/2009,1.00878504761,Germany 1. Bundesliga
DSC Arminia Bielefeld,2008/2009,0.988558953458,Germany 1. Bundesliga
SV Werder Bremen,2011/2012,1.03257219849,Germany 1. Bundesliga
SV Werder Bremen,2013/2014,0.99417328797,Germany 1. Bundesliga
SV Werder Bremen,2015/2016,1.00711442045,Germany 1. Bundesliga
SV Werder Bremen,2012/2013,1.02065273487,Germany 1. Bundesliga
SV Werder Bremen,2008/2009,0.998338363304,Germany 1. Bundesliga
SV Werder Bremen,2010/2011,1.03370255077,Germany 1. Bundesliga
SV Werder Bremen,2014/2015,1.00458398507,Germany 1. Bundesliga
SV Werder Bremen,2009/2010,0.981646605287,Germany 1. Bundesliga
Borussia Mönchengladbach,2011/2012,1.03469320553,Germany 1. Bundesliga
Borussia Mönchengladbach,2013/2014,1.01539837033,Germany 1. Bundesliga
Borussia Mönchengladbach,2015/2016,1.01880574343,Germany 1. Bundesliga
Borussia Mönchengladbach,2012/2013,1.02969873177,Germany 1. Bundesliga
Borussia Mönchengladbach,2008/2009,1.01158942256,Germany 1. Bundesliga
Borussia Mönchengladbach,2010/2011,1.01430347423,Germany 1. Bundesliga
Borussia Mönchengladbach,2014/2015,1.00666395797,Germany 1. Bundesliga
Borussia Mönchengladbach,2009/2010,1.00502570199,Germany 1. Bundesliga
Borussia Dortmund,2011/2012,0.902611576961,Germany 1. Bundesliga
Borussia Dortmund,2013/2014,0.851172406964,Germany 1. Bundesliga
Borussia Dortmund,2015/2016,0.823529284844,Germany 1. Bundesliga
Borussia Dortmund,2012/2013,0.886024969741,Germany 1. Bundesliga
Borussia Dortmund,2008/2009,1.03305530419,Germany 1. Bundesliga
Borussia Dortmund,2010/2011,0.971220410434,Germany 1. Bundesliga
Borussia Dortmund,2014/2015,0.907776560941,Germany 1. Bundesliga
Borussia Dortmund,2009/2010,1.01885840741,Germany 1. Bundesliga
Hamburger SV,2011/2012,1.03785078375,Germany 1. Bundesliga
Hamburger SV,2013/2014,1.01368888908,Germany 1. Bundesliga
Hamburger SV,2015/2016,1.01495868378,Germany 1. Bundesliga
Hamburger SV,2012/2013,1.02618385087,Germany 1. Bundesliga
Hamburger SV,2008/2009,1.00912499584,Germany 1. Bundesliga
Hamburger SV,2010/2011,1.03731149971,Germany 1. Bundesliga
Hamburger SV,2014/2015,1.00638181883,Germany 1. Bundesliga
Hamburger SV,2009/2010,1.00719254992,Germany 1. Bundesliga
Bologna,2011/2012,1.01098981817,Italy Serie A
Bologna,2013/2014,0.999705786834,Italy Serie A
Bologna,2015/2016,1.00573627726,Italy Serie A
Bologna,2012/2013,1.03424518218,Italy Serie A
Bologna,2008/2009,0.998301629278,Italy Serie A
Bologna,2010/2011,0.994857225044,Italy Serie A
Bologna,2009/2010,1.00426529984,Italy Serie A
Brescia,2010/2011,0.988218754611,Italy Serie A
Empoli,2015/2016,1.01726967904,Italy Serie A
Empoli,2014/2015,1.01449950534,Italy Serie A
Sassuolo,2013/2014,0.982859194312,Italy Serie A
Sassuolo,2015/2016,1.02267212059,Italy Serie A
Sassuolo,2014/2015,1.01361432005,Italy Serie A
Atalanta,2011/2012,1.03346540012,Italy Serie A
Atalanta,2013/2014,1.01333248303,Italy Serie A
Atalanta,2015/2016,1.01964490848,Italy Serie A
Atalanta,2012/2013,1.02813303584,Italy Serie A
Atalanta,2008/2009,1.03224800035,Italy Serie A
Atalanta,2014/2015,1.0210894588,Italy Serie A
Atalanta,2009/2010,1.0179355119,Italy Serie A
Cesena,2011/2012,0.977105403497,Italy Serie A
Cesena,2010/2011,0.991341193729,Italy Serie A
Cesena,2014/2015,0.933522095131,Italy Serie A
Torino,2013/2014,1.02071793012,Italy Serie A
Torino,2014/2015,1.03600150892,Italy Serie A
Torino,2015/2016,1.01892440531,Italy Serie A
Torino,2012/2013,1.03259768033,Italy Serie A
Torino,2008/2009,1.01801780976,Italy Serie A
Cagliari,2011/2012,1.01314140701,Italy Serie A
Cagliari,2013/2014,1.02080096627,Italy Serie A
Cagliari,2012/2013,1.02400950382,Italy Serie A
Cagliari,2008/2009,1.01375515631,Italy Serie A
Cagliari,2010/2011,1.02892804778,Italy Serie A
Cagliari,2014/2015,1.01935523838,Italy Serie A
Cagliari,2009/2010,1.01822278766,Italy Serie A
